"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"7f9abce7";51.0;2.0;"2024-02-05";51;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"7fbb0cfb";74.0;4.0;"2024-02-05";74;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"809fd362";65.0;3.0;"2024-08-28";29;"";"2024-02-13";28.33;"";"2024-02-24";6.67;"";"2024-07-10";65.0;"DA ";"2024-09-05";0.0;"";"2023-11-10"
"80ce68c1";50.0;2.0;"2024-02-05";50;"DA ";"2024-02-14";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"80f059c0";83.0;4.0;"2024-02-05";83;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"836eea1d";64.0;3.0;"2024-02-05";64;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"838e6529";50.0;2.0;"2024-02-05";50;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"8396c45e";51.67;2.0;"2024-02-19";47;"";"2024-02-13";51.67;"DA ";"2024-02-24";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"83db1fb8";60.0;3.0;"2024-02-05";60;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"843e4e54";53.0;2.0;"2024-02-05";53;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"84c8b2fd";50.0;2.0;"2024-02-19";31;"";"2024-02-13";50.0;"DA ";"2024-02-23";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"850fcce5";51.0;2.0;"2024-02-05";51;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"85416d37";74.0;4.0;"2024-02-05";74;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"8592d5b0";58.0;3.0;"2024-02-05";58;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"86d02c33";"";"";"";45;"";"2024-02-13";33.33;"";"2024-02-24";41.67;"";"2024-07-10";35.0;"";"2024-09-05";15.0;"";"2024-09-12"
"875a6e30";60.0;3.0;"2024-02-05";60;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"8798186d";"";"";"";0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"87cfd53f";"";"";"";39;"";"2024-02-13";46.67;"";"2024-02-24";23.33;"";"2024-07-10";20.0;"";"2024-09-05";46.7;"";"2024-09-12"
"87de2bbd";65.0;3.0;"2024-08-28";8;"";"2024-02-08";0.0;"";"2023-11-10";0.0;"";"2023-11-10";65.0;"DA ";"2024-09-05";0.0;"";"2023-11-10"
