"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok (ljetni) - bodovi";"2. ispitni rok (ljetni) - prolaz";"2. ispitni rok (ljetni) - vrijeme";"2. ispitni rok (jesenski) - bodovi";"2. ispitni rok (jesenski) - prolaz";"2. ispitni rok (jesenski) - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"2f180ace";"";"";"";3;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2f3a47b8";98.0;5.0;"2020-02-03";98;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2fece4c3";49.0;2.0;"2020-02-03";49;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"31040542";51.56;2.0;"2020-02-17";25;"";"2020-02-10";51.56;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"317f0df4";67.0;3.0;"2020-02-03";67;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"32124a4c";65.63;3.0;"2020-02-17";16;"";"2019-12-04";65.63;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"326ea9d9";53.13;2.0;"2020-08-24";29;"";"2020-02-10";32.81;"";"2020-02-19";0.0;"";"2020-06-02";53.13;"DA ";"2020-08-27";0;"";"2020-06-02";0.0;"";"2020-09-09"
"3277ed7b";48.0;2.0;"2020-09-03";10;"";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";32.81;"";"2020-08-27";48;"DA ";"2020-09-08";0.0;"";"2020-09-09"
"32880109";85.0;5.0;"2020-02-03";85;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"32ef0d55";45.31;2.0;"2020-02-17";32;"";"2020-02-10";45.31;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"34296363";57.0;3.0;"2020-02-03";57;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"3473914b";45.0;2.0;"2020-02-03";45;"DA ";"2020-02-11";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"34b6821a";65.0;3.0;"2020-02-03";65;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"354e605b";48.0;2.0;"2020-02-03";48;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"355b7152";51.56;2.0;"2020-08-24";7;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";51.56;"DA ";"2020-08-27";0;"";"2020-06-02";0.0;"";"2020-09-09"
"355cd207";62.0;3.0;"2020-02-03";62;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"357e3b34";61.0;3.0;"2020-02-03";61;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"35808cbc";"";"";"";28;"";"2020-02-10";26.56;"";"2020-02-19";0.0;"";"2020-06-02";29.69;"";"2020-08-27";0;"";"2020-06-02";0.0;"";"2020-09-09"
